name,country,address,website,hall,stand,product_groups_top,product_groups,product_group_count,brands,trend_subjects,distribution_channels,target_markets,profile,detail_url
"Eiwa Confectionery Co.,Ltd.",Japan,"1-5-4 Kyodo, Setagaya-Ku, 156-0052 Tokyo",https://www.eiwamm.co.jp/,10.1,D097+E096,Sugar confectionery,Sugar confectionery > Sugared jellies | Sugar confectionery > Sweet gums/jelly bears | Sugar confectionery > Gums and jelly confectionery | Sugar confectionery > Marshmallows,4,,,,,,https://www.ism-cologne.com/exhibitor/eiwa_confectionery/
E.J. Papadopoulos S.A.,Greece,"Petrou Ralli 26, 177 78 Tavros",http://www.papadopoulou.gr,10.2,C021,Fine bakery products | Snack foods,"Fine bakery products > Cereal cookies | Fine bakery products > Cereal bars | Fine bakery products > Wafers, filled / without filling / plain wafers coated in chocolate | Fine bakery products > Sugar-reduced-biscuits | Snack foods > Pretzels/salted cocktail snacks/salted sticks",5,Bisco Cookies Biscotello Caprice Digestive Digestive Bars Granola Bars Mini Pick Mupticereals Petit Beurre,,,Australia Brazil Canada China Japan Mexico Middle East New Zealand Northern Europe Others Central America Others Eastern Europe Others South America Russia South Africa Southern Europe USA West Africa Western Europe,,https://www.ism-cologne.com/exhibitor/ej_papad/
EKOL CIKOLATA SAN. VE TIC. LTD. STI.,Türkiye,"CIHANGIR MAH., ISTANBUL",https://ekolcikolata.com/,11.2,B039,"Chocolate, chocolate products | Sugar confectionery","Chocolate, chocolate products > Creme chocolate | Chocolate, chocolate products > Almond-hazelnut chocolate | Chocolate, chocolate products > Milk chocolate | Chocolate, chocolate products > Hazelnut milk chocolate | Chocolate, chocolate products > Chocolate covering/couverture | Chocolate, chocolate products > Full-milk chocolate with whole almond or nuts | Chocolate, chocolate products > White chocolate | Sugar confectionery > Sweets made with non-sugar sweeteners | Sugar confectionery > Sugared jellies | Sugar confectionery > Lokum",10,,Halal Organic,,Canada China East Africa Japan Mexico Middle East Northern Europe South Africa Southern Europe USA Western Europe,,https://www.ism-cologne.com/exhibitor/ekol_cikolata_san_v/
EKSTAR ENTERPRISE PTE LTD.,Singapore,"8 EU TONG SEN STREET #16-81 THE CENTRAL, 058818 SINGAPORE",,10.1,F055,Raw materials and ingredients,"Raw materials and ingredients > Ammonium chloride | Raw materials and ingredients > Antioxidants | Raw materials and ingredients > Baking agents, baking powder, raising agents | Raw materials and ingredients > Calcium acetate, carbonate, chloride, lactate and stearate | Raw materials and ingredients > Egg products (dried products, egg yolk, egg white) | Raw materials and ingredients > Emulsifiers | Raw materials and ingredients > Glycerin | Raw materials and ingredients > Preservatives | Raw materials and ingredients > Lecithins | Raw materials and ingredients > Malt extracts, malt products | Raw materials and ingredients > Sodium acetate, ascorbate, benzoate, bicarbonate, carbonate, cyclamate, diacetate, nitrate | Raw materials and ingredients > Phosphates | Raw materials and ingredients > Acidulants | Raw materials and ingredients > Stabilisers | Raw materials and ingredients > Cocoa powder | Raw materials and ingredients > Sugar substitutes | Raw materials and ingredients > Corn products | Raw materials and ingredients > Soy products",18,ICD,Halal Kosher Sugar free,,,,https://www.ism-cologne.com/exhibitor/ekstar_enterprise_pt/
Elah Dufour S.p.A,Italy,"Strada Serravalle 73, 15067 NOVI LIGURE (AL)",http://www.elah-dufour.it,04.2,B021,"Chocolate, chocolate products","Chocolate, chocolate products > Dark chocolate/Dark cream chocolate | Chocolate, chocolate products > Block chocolate | Chocolate, chocolate products > Superior dark chocolate/Superior full-milk chocolate | Chocolate, chocolate products > Fruit chocolate (orange/lemon) | Chocolate, chocolate products > Almond-hazelnut chocolate | Chocolate, chocolate products > Milk chocolate | Chocolate, chocolate products > Hazelnut milk chocolate | Chocolate, chocolate products > Puffed-rice chocolate | Chocolate, chocolate products > Cream chocolate | Chocolate, chocolate products > Small bar of chocolate | Chocolate, chocolate products > Full-milk chocolate | Chocolate, chocolate products > Full-milk hazelnut chocolate | Chocolate, chocolate products > White chocolate | Chocolate, chocolate products > Dark (semi-sweet) chocolate | Chocolate, chocolate products > Dessert chocolates | Chocolate, chocolate products > Fruit chocolates (pineapple, apple, strawberry, raspberry, cherry, orange) | Chocolate, chocolate products > Mocha beans and mocha chocolates, solid/filled | Chocolate, chocolate products > Hazelnut chocolates | Chocolate, chocolate products > Easter chocolate products | Chocolate, chocolate products > Chocolate eggs, solid",20,,,,Brazil Canada Japan Mexico Middle East Northern Europe South East Asia USA Western Europe,,https://www.ism-cologne.com/exhibitor/elah_dufourdufour/
ELBISCO INDUSTRIAL AND COMMERCIAL FOOD SA,Greece,"Marathonos Avenue 21st Km, 190 09 Pikermi",http://www.elbisco.gr,11.2,E030,Fine bakery products | Snack foods | Sugar-free confectionary and snacks,Fine bakery products > Sandwich biscuits with cream filling | Fine bakery products > Bbiscuits assortments/chocolate coated biscuits | Fine bakery products > Hazelnut pretzels/hazelnut biscuits/hazelnut stars | Fine bakery products > Rusks | Fine bakery products > Sugar-free biscuits | Snack foods > Crackers (water biscuits) | Snack foods > Cheese biscuits/assorted cheese snacks/cheese wafers/ cheese rolls | Snack foods > Salted snacks (pretzels/assortments/sticks) | Snack foods > Biscuit snacks | Snack foods > Sugar-free snacks foods | Sugar-free confectionary and snacks > Sugar-free biscuits,11,ALLATINI ELITE,Fair trade Halal Kosher Private label Sugar free,,Middle East North Africa Northern Europe Others Eastern Europe Russia Southern Europe Türkiye Western Europe,,https://www.ism-cologne.com/exhibitor/elbisco/
Eleesian chocolates,Greece,"Attica L.Kifisias 140, 115 25 Athens",https://www.eleesianchocolates.com,04.2,H024,"Chocolate, chocolate products","Chocolate, chocolate products > Dark chocolate/Dark cream chocolate | Chocolate, chocolate products > Chocolate with fructose and/or sweeteners/Diet chocolate | Chocolate, chocolate products > Peanut chocolate | Chocolate, chocolate products > Fruit chocolate (orange/lemon) | Chocolate, chocolate products > Ginger chocolate | Chocolate, chocolate products > Almond-hazelnut chocolate | Chocolate, chocolate products > Milk chocolate | Chocolate, chocolate products > Puffed-rice chocolate | Chocolate, chocolate products > Rum and almond chocolate | Chocolate, chocolate products > Small bar of chocolate | Chocolate, chocolate products > Truffle chocolate | Chocolate, chocolate products > White chocolate | Chocolate, chocolate products > Flavoured white chocolate | Chocolate, chocolate products > Dark (semi-sweet) chocolate | Chocolate, chocolate products > Praline (hazelnut praline) chocolates | Chocolate, chocolate products > Hazelnut chocolates | Chocolate, chocolate products > Walnut chocolates | Chocolate, chocolate products > Truffle chocolates | Chocolate, chocolate products > Chocolate bars, filled/solid | Chocolate, chocolate products > Sugar-free chocolate",20,Eleesian chocolates,Handcrafted products/Artisan Limited edition Private label Sugar free,,Australia Brazil Canada China Colombia East Africa India Japan Mexico Middle East New Zealand North Africa Northern Europe Others Central America Others Eastern Europe Others Oceania Others South America Russia South Africa South East Asia Southern Europe Türkiye USA West Africa Western Europe,,https://www.ism-cologne.com/exhibitor/eleesian_chocolates/
"Elgorriaga Brands, S.A.",Spain,"Carretera N-110 (Soria-Plasencia) Km 259, 05002 Ávila",http://www.chocolateselgorriaga.com,11.1,G019,Fine bakery products,Fine bakery products > Sandwich biscuits with cream filling | Fine bakery products > Orange biscuits | Fine bakery products > Lemon biscuits,3,ELGORRIAGA ELGOVITA PATRICK,,,,,https://www.ism-cologne.com/exhibitor/elgorriaga_brands/
ELiT-P EOOD,Bulgaria,"Dilianka Str. 2A, 4003 Plovdiv",https://elitfoods.eu/en/,03.2,E009,"Chocolate, chocolate products | Fine bakery products | Snack foods | Sugar confectionery | Trend Snacks & Natural Snacks","Chocolate, chocolate products > Chocolate bars, filled/solid | Fine bakery products > Puff pastry products | Fine bakery products > Honey spice cake / honey biscuits | Fine bakery products > Cakes | Fine bakery products > Bar-shaped cakes / small cakes | Fine bakery products > Cereal bars | Fine bakery products > Layer cakes | Fine bakery products > Muffins | Fine bakery products > Milk and chocolate rolls/-croissants | Fine bakery products > Sugar-reduced-biscuits | Snack foods > Cashew nuts | Snack foods > Peanuts | Snack foods > Crackers (water biscuits) | Snack foods > Hazelnuts | Snack foods > Macadamia nuts | Snack foods > Corn snacks | Snack foods > Almonds | Snack foods > Assorted nuts / assorted nuts and raisins | Snack foods > Assorted nuts | Snack foods > Pecan nuts | Snack foods > Pine nuts | Snack foods > Pistachio nuts | Snack foods > Popcorn/Puffed-corn/Puffed-rice | Snack foods > Rice-snacks | Snack foods > Salted snacks (pretzels/assortments/sticks) | Snack foods > Walnut kernels | Snack foods > Sunflower seeds | Sugar confectionery > Cocoa confectionery | Sugar confectionery > Cocoa creme/cocoa creme confectionery/cocoa creme products | Trend Snacks & Natural Snacks > Dried fruit and vegetables | Trend Snacks & Natural Snacks > Fruit-, Vegetable- and nut bars | Trend Snacks & Natural Snacks > Energy and sports bars",32,Crudeli Crackers Dolce Fiore Croissants ELiT foods ELiT NUT BAR ELiT nuts Ideal Honey Cake Les Marquis Puff Pastry Milkiss Soft Honey Cake PROELiT bar SNUX,Functional Halal Private label,,Australia Brazil Canada Colombia Japan Mexico Middle East New Zealand North Africa Northern Europe Others Central America Others Eastern Europe Others Oceania Others South America Southern Europe USA Western Europe,,https://www.ism-cologne.com/exhibitor/elit-p/
Elitfood LLC,Ukraine,"Velyka Kiltseva Petropavlivska Borshchahivka 4M, 08130 Kiev",https://misso.ua/en,10.1,E099,"Chocolate, chocolate products | Snack foods | Sugar-free confectionary and snacks | Trend Snacks & Natural Snacks","Chocolate, chocolate products > Sugar-free chocolate | Chocolate, chocolate products > Lactose-free chocolate | Chocolate, chocolate products > Sustainable sweets & snacks | Snack foods > Vegan snack foods | Snack foods > Sugar-free snacks foods | Snack foods > Lactose-free snack foods | Snack foods > Gluten-free snack foods | Sugar-free confectionary and snacks > Sugar-free chocolate | Sugar-free confectionary and snacks > Sugar-free chocolate products | Sugar-free confectionary and snacks > Sugar-free sweets | Sugar-free confectionary and snacks > Sugar-free pastilles | Sugar-free confectionary and snacks > Sugar-free snacks foods | Sugar-free confectionary and snacks > Other sugar-free products | Trend Snacks & Natural Snacks > Vegan trend snacks | Trend Snacks & Natural Snacks > Fruit-, Vegetable- and nut bars | Trend Snacks & Natural Snacks > Fruit-, Vegetable- and crisps/crackers | Trend Snacks & Natural Snacks > Energy and sports bars | Trend Snacks & Natural Snacks > Energy Snacks | Trend Snacks & Natural Snacks > Products without additives | Trend Snacks & Natural Snacks > Vegan chocolate",20,Misso,Functional Impulse packages Limited edition Private label Sugar free Vegan Vegetarian,,Canada China Japan Middle East Northern Europe Southern Europe USA Western Europe,,https://www.ism-cologne.com/exhibitor/elitfood_llc/
Elit Cikolata ve Sekerleme San. A.S.,Türkiye,"ZAFER MAH. 140.SOKAK, 21, 34513 ISTANBUL",http://www.elit-chocolate.com,11.1,G009+I008,"Chocolate, chocolate products","Chocolate, chocolate products > Alpine milk chocolate/Alpine cream chocolate/Alpine full-milk chocolate | Chocolate, chocolate products > Dark chocolate/Dark cream chocolate | Chocolate, chocolate products > Block chocolate | Chocolate, chocolate products > Superior dark chocolate/Superior full-milk chocolate | Chocolate, chocolate products > Yoghurt chocolate (filled and solid) | Chocolate, chocolate products > Chocolate coating, retail packs | Chocolate, chocolate products > Almond praline / Hazelnut praline chocolate | Chocolate, chocolate products > Almond-hazelnut chocolate | Chocolate, chocolate products > Milk chocolate | Chocolate, chocolate products > Hazelnut milk chocolate | Chocolate, chocolate products > Tablet of filled chocolate squares | Chocolate, chocolate products > Cream chocolate | Chocolate, chocolate products > Truffle chocolate | Chocolate, chocolate products > White chocolate | Chocolate, chocolate products > Praline (hazelnut praline) chocolates | Chocolate, chocolate products > Creme praline chocolates | Chocolate, chocolate products > Hazelnut chocolates | Chocolate, chocolate products > Chocolate eggs | Chocolate, chocolate products > Truffle chocolates | Chocolate, chocolate products > Advent calender/Ramadan calendar | Chocolate, chocolate products > Christmas tree chocolates | Chocolate, chocolate products > Neapolitains | Chocolate, chocolate products > Easter chocolate products | Chocolate, chocolate products > Chocolate-shaped hearts/chocolate-shaped hearts on strings | Chocolate, chocolate products > Chocolate balls, solid/filled",25,ELIT 1924,Halal Kosher Private label,,,,https://www.ism-cologne.com/exhibitor/elit_cikolata/
Elvan Gida Sanayi ve Ticaret A.S.,Türkiye,"Tevfikbey Mah. Sehit Erol Olcok Cad. 26 Sefakoy-Kucukcekmece, 34295 Istanbul",http://www.elvan.com.tr,10.2,G030+G038,"Chocolate, chocolate products | Fine bakery products | Ice cream, deep-frozen confectionery / raw pastes | Snack foods | Sugar confectionery","Chocolate, chocolate products > Dark chocolate/Dark cream chocolate | Chocolate, chocolate products > Block chocolate | Chocolate, chocolate products > Aero chocolate | Chocolate, chocolate products > Milk chocolate | Chocolate, chocolate products > Hazelnut milk chocolate | Chocolate, chocolate products > Small bar of chocolate | Chocolate, chocolate products > Full-milk chocolate | Chocolate, chocolate products > Fondant chocolates | Chocolate, chocolate products > Truffle chocolates | Chocolate, chocolate products > Toys (also chocolates with toy gifts) | Chocolate, chocolate products > Chocolate bars, filled/solid | Chocolate, chocolate products > Chocolate biscuits | Fine bakery products > Sponge fingers | Fine bakery products > Bbiscuits assortments/chocolate coated biscuits | Fine bakery products > Cakes | Fine bakery products > Cereal cookies | Fine bakery products > Hazelnut pretzels/hazelnut biscuits/hazelnut stars | Fine bakery products > Orange biscuits | Fine bakery products > Layer cakes | Fine bakery products > Wafers, filled / without filling / plain wafers coated in chocolate | Fine bakery products > Wafer assortment / wafer rolls / wafer fingers | Fine bakery products > Wholemeal biscuits | Fine bakery products > Muffins | Fine bakery products > Milk and chocolate rolls/-croissants | Ice cream, deep-frozen confectionery / raw pastes > Praline | Snack foods > Crackers (water biscuits) | Snack foods > Biscuit snacks | Sugar confectionery > Fizzy sweets | Sugar confectionery > Cola drops | Sugar confectionery > Drops | Sugar confectionery > Refreshing candies | Sugar confectionery > Fruit flavoured boiled sweets | Sugar confectionery > Coffee sweets | Sugar confectionery > Caramel sweets | Sugar confectionery > Chews | Sugar confectionery > Licorice sweets | Sugar confectionery > Licorice toffees | Sugar confectionery > Mocha sweets | Sugar confectionery > Toffees / Butter-Toffees / Fudge | Sugar confectionery > Fondant products | Sugar confectionery > Fondant | Sugar confectionery > Sweet gums/jelly bears | Sugar confectionery > Gums and jelly confectionery | Sugar confectionery > Ginger products | Sugar confectionery > Cocoa confectionery | Sugar confectionery > Coconut balls/coconut eggs | Sugar confectionery > Coconut flakes, coloured/chocolate coated | Sugar confectionery > Licorice/licorice products | Sugar confectionery > Marshmallow treats/Marshmallow cones | Sugar confectionery > Lokum | Sugar confectionery > Halva | Sugar confectionery > Sweet spreads containing cocoa, nut and dairy cream",52,Coffex Dr.Milk Fiorella Fondante IBON Jelaxy Today Toffix Toto Truffle,Halal Kosher Private label,,Australia Brazil Canada China Colombia East Africa India Japan Mexico Middle East New Zealand North Africa Northern Europe Others Central America Others Eastern Europe Others Oceania Others South America Russia South Africa South East Asia Southern Europe Türkiye USA West Africa Western Europe,,https://www.ism-cologne.com/exhibitor/elvan/
Elvirasminde A/S,Denmark,"Danmarksvej 248660 Jylland, 8660 Skanderborg",http://www.samba.dk,11.1,B028,"Chocolate, chocolate products","Chocolate, chocolate products > Alpine milk chocolate/Alpine cream chocolate/Alpine full-milk chocolate | Chocolate, chocolate products > Dark chocolate/Dark cream chocolate | Chocolate, chocolate products > Chocolate covering/couverture",3,Samba,Kosher,,Canada Northern Europe Southern Europe USA Western Europe,,https://www.ism-cologne.com/exhibitor/elvirasminde/
EL INGENIERO SPA,Chile,"Monjitas 550, 8940000 Santiago de Chile",http://www.brickellcandy.com,11.1,B039a,Sugar-free confectionary and snacks,Sugar-free confectionary and snacks > Sugar-free sweets | Sugar-free confectionary and snacks > Sugar-free chewing gum | Sugar-free confectionary and snacks > Sugar-free fruit jellies | Sugar-free confectionary and snacks > Other sugar-free products,4,Brickell Candy,Impulse packages Sugar free,,,,https://www.ism-cologne.com/exhibitor/el_ingeniero_spa/
el origen food GmbH,Germany,"Große Reichenstr. 27, 20457 Hamburg",http://www.elorigenfood.com,10.1,L021a,Snack foods | Trend Snacks & Natural Snacks,Snack foods > Vegan snack foods | Snack foods > Gluten-free snack foods | Trend Snacks & Natural Snacks > Other savoury snacks,3,el origen,Fair trade Organic Vegan,,Northern Europe Southern Europe Western Europe,,https://www.ism-cologne.com/exhibitor/el_origen_food_gmbh/
EL QUITERIANO S.A.,Spain,"Avenida Barcelona s/n, 22400 Monzón",http://www.inpanasa.com,11.1,G043,"Chocolate, chocolate products | Fine bakery products","Chocolate, chocolate products > Alpine milk chocolate/Alpine cream chocolate/Alpine full-milk chocolate | Chocolate, chocolate products > Dark chocolate/Dark cream chocolate | Chocolate, chocolate products > Flaked cracknel chocolate | Chocolate, chocolate products > Block chocolate | Chocolate, chocolate products > Capuccino chocolate | Chocolate, chocolate products > Cola chocolate | Chocolate, chocolate products > Chocolate with fructose and/or sweeteners/Diet chocolate | Chocolate, chocolate products > Superior dark chocolate/Superior full-milk chocolate | Chocolate, chocolate products > Peanut chocolate | Chocolate, chocolate products > Nut chocolate in transparent packing | Chocolate, chocolate products > Fruit chocolate (orange/lemon) | Chocolate, chocolate products > Fruit chocolate with cream | Chocolate, chocolate products > Household chocolate/Household milk chocolate | Chocolate, chocolate products > Ginger chocolate | Chocolate, chocolate products > Yoghurt chocolate (filled and solid) | Chocolate, chocolate products > Cocoa powder, retail packs | Chocolate, chocolate products > Instant cocoa powder, retail packs | Chocolate, chocolate products > Chocolate crisp | Chocolate, chocolate products > Coconut chocolate | Chocolate, chocolate products > Creme chocolate | Chocolate, chocolate products > Cracknel chocolate | Chocolate, chocolate products > Chocolate coating, retail packs | Chocolate, chocolate products > Aero chocolate | Chocolate, chocolate products > Almond chip chocolate | Chocolate, chocolate products > Almond cracknel chocolate | Chocolate, chocolate products > Almond praline / Hazelnut praline chocolate | Chocolate, chocolate products > Almond-hazelnut chocolate | Chocolate, chocolate products > Marzipan chocolate | Chocolate, chocolate products > Milk chocolate | Chocolate, chocolate products > Hazelnut milk chocolate | Chocolate, chocolate products > Mocha chocolate, Mocha-cream chocolate, solid/filled | Chocolate, chocolate products > Nougat (Hazelnut praline) chocolate/Nougat cracknel chocolate | Chocolate, chocolate products > Nut-brittle chocolate, Nut-nougat chocolate | Chocolate, chocolate products > Peppermint chocolate, solid/filled | Chocolate, chocolate products > Small bars of peppermint chocolate, solid/filled | Chocolate, chocolate products > Tablet of filled chocolate squares | Chocolate, chocolate products > Puffed-rice chocolate | Chocolate, chocolate products > Cream chocolate | Chocolate, chocolate products > Rum and almond chocolate | Chocolate, chocolate products > Rum and raisin chocolate | Chocolate, chocolate products > Rum, hazelnut and raisin chocolate | Chocolate, chocolate products > Cream chocolate / cream cracknel chocolate | Chocolate, chocolate products > Alcohol-filled chocolate | Chocolate, chocolate products > Small bar of chocolate | Chocolate, chocolate products > Chocolate covering/couverture | Chocolate, chocolate products > Truffle chocolate | Chocolate, chocolate products > Full-milk chocolate | Chocolate, chocolate products > Full-milk cracknel | Chocolate, chocolate products > Full-milk almond chocolate | Chocolate, chocolate products > Full-milk mocha chocolate | Chocolate, chocolate products > Full-milk hazelnut chocolate | Chocolate, chocolate products > Full-milk nut chocolate | Chocolate, chocolate products > Full-milk chocolate with whole almond or nuts | Chocolate, chocolate products > White chocolate | Chocolate, chocolate products > Flavoured white chocolate | Chocolate, chocolate products > Dark (semi-sweet) chocolate | Chocolate, chocolate products > Dark (semi-sweet) chocolate with whole nuts | Chocolate, chocolate products > Alcohol-filled chocolates | Chocolate, chocolate products > Dessert chocolates | Chocolate, chocolate products > Pralines with fructose and/or sweeteners/Diet pralines | Chocolate, chocolate products > Peanut chips/peanut lumps/peanut pyramids | Chocolate, chocolate products > Chocolate sticks with flavoured, liquid centres | Chocolate, chocolate products > Fondant chocolates | Chocolate, chocolate products > Fruit chocolates (pineapple, apple, strawberry, raspberry, cherry, orange) | Chocolate, chocolate products > Coated jellies | Chocolate, chocolate products > Yoghurt chocolates | Chocolate, chocolate products > Creme chocolates | Chocolate, chocolate products > Chocolates coated coffee beans and coffee chocolates,solid/filled | Chocolate, chocolate products > Advocat chocolates | Chocolate, chocolate products > Cracknel chocolates | Chocolate, chocolate products > Liqueur chocolates | Chocolate, chocolate products > Almond chocolates/almond splitz/almond lumps/almond pyramids | Chocolate, chocolate products > Marzipan chocolates/marzipan and walnut chocolates | Chocolate, chocolate products > Mocha beans and mocha chocolates, solid/filled | Chocolate, chocolate products > Mozartkugeln | Chocolate, chocolate products > Praline (hazelnut praline) chocolates | Chocolate, chocolate products > Creme praline chocolates | Chocolate, chocolate products > Hazelnut lumps/hazelnut pyramids/hazelnut chips | Chocolate, chocolate products > Hazelnut chocolates | Chocolate, chocolate products > Peppermint chocolates | Chocolate, chocolate products > Chocolate eggs | Chocolate, chocolate products > Rum-filled chocolates beans/rum-filled chocolate eggs / rumballs (Jamaica rum) | Chocolate, chocolate products > Walnut chocolates | Chocolate, chocolate products > Brandy (cognac) chocolates beans | Chocolate, chocolate products > Brandy (cognac) chocolates eggs | Chocolate, chocolate products > Brandy (cognac) chocolates with cherries/Brandy chocolates | Chocolate, chocolate products > Cognac chocolates | Chocolate, chocolate products > Truffle chocolates | Chocolate, chocolate products > Advent calender/Ramadan calendar | Chocolate, chocolate products > Christmas tree chocolates | Chocolate, chocolate products > Flaked cracknel | Chocolate, chocolate products > Chocolates flake for sprinkling | Chocolate, chocolate products > Chocolate cornflake crisp (milk/plain) | Chocolate, chocolate products > Hollow chocolate figures (also filled chocolate figures) | Chocolate, chocolate products > Langues de chat (also filled) | Chocolate, chocolate products > Toys (also chocolates with toy gifts) | Chocolate, chocolate products > Chocolate items for the toy-shop | Chocolate, chocolate products > Advocat-filled chocolate items | Chocolate, chocolate products > Neapolitains | Chocolate, chocolate products > Santa sacks | Chocolate, chocolate products > Santa chocolate canes | Chocolate, chocolate products > Santa chocolate boots | Chocolate, chocolate products > Two nuts in a shell | Chocolate, chocolate products > Easter chocolate products | Chocolate, chocolate products > Layered chocolates/layered chocolate eggs | Chocolate, chocolate products > Filled chocolate Biedermeier bouquets | Chocolate, chocolate products > Gift-eggs | Chocolate, chocolate products > Puffed-rice pieces, bars | Chocolate, chocolate products > Grating chocolate | Chocolate, chocolate products > Chocolate with imprinted designs | Chocolate, chocolate products > Chocolate bars, filled/solid | Chocolate, chocolate products > Chocolate cups, chocolate bowls, chocolate pots | Chocolate, chocolate products > Chocolate leaves, chocolate tiles, chocolate buttons | Chocolate, chocolate products > Chocolate eggs, solid | Chocolate, chocolate products > Chocolate barrels/chocolate bottles (filled with liqueurs/ brandy/whisky) | Chocolate, chocolate products > Chocolate flakes/milk chocolate flakes | Chocolate, chocolate products > Chocolate-shaped hearts/chocolate-shaped hearts on strings | Chocolate, chocolate products > Chocolate witch's house | Chocolate, chocolate products > Chocolate horseshoe | Chocolate, chocolate products > Chocolate wreath, solid/filled | Chocolate, chocolate products > Chocolate balls, solid/filled | Chocolate, chocolate products > Chocolate beetles/lucky chocolate beetles/chocolate lady- birds | Chocolate, chocolate products > Chocolate coins/chocolate squares/chocolate doubloons | Chocolate, chocolate products > Chocolate biscuits | Chocolate, chocolate products > Chocolate butterflies | Chocolate, chocolate products > Chocolate slices and slithers | Chocolate, chocolate products > Chocolate sprinkles | Chocolate, chocolate products > Choc-chips | Chocolate, chocolate products > Chocolate sticks, solid/filled | Chocolate, chocolate products > Chocolate balls coated in vermicelli | Chocolate, chocolate products > Chocolate goods for Christmas | Chocolate, chocolate products > Chilled chocolate snacks | Chocolate, chocolate products > Sugar-free chocolate | Chocolate, chocolate products > Sugar-reduced chocolate | Chocolate, chocolate products > Fat-reduced chocolate | Chocolate, chocolate products > Lactose-free chocolate | Chocolate, chocolate products > Sustainable sweets & snacks | Fine bakery products > Sponge fingers | Fine bakery products > Puff pastry products | Fine bakery products > Coconut cakes / coconut biscuits | Fine bakery products > Marbled biscuits | Fine bakery products > Butter cakes | Fine bakery products > Muffins",143,Cakes H Bareche Mas Aliu Montes Lara Nicopan Tuesta Bakery,Private label,,Northern Europe Southern Europe Western Europe,,https://www.ism-cologne.com/exhibitor/el_quiteriano/
EL SABOR MEXICAN FOODS SA,Greece,"KOKKINIA SITE 0, 320 11 INOFITA",http://www.elsabor.gr,04.2,F011,Snack foods,Snack foods > Corn snacks,1,EL SABOR,,,Australia Brazil Canada China Colombia East Africa India Japan Mexico Middle East New Zealand North Africa Northern Europe Others Central America Others Eastern Europe Others Oceania Others South America Russia South Africa South East Asia Southern Europe Türkiye USA West Africa Western Europe,,https://www.ism-cologne.com/exhibitor/el_sabor_mexican_foo/
EMA CHOCOLATE,Morocco,"SAPINO, NOUACEUR LOT 164, 27000 CASABLANCA",https://wedobiscuit.ma/,10.1,A081+B088,Snack foods,Snack foods > Wheat snacks,1,WEDO BISCUIT,Halal,,East Africa North Africa Northern Europe Others Eastern Europe Russia South Africa Southern Europe Türkiye West Africa Western Europe,"WEDO embodies biscuit excellence with its ranges: Vamos, Delato, Galette, Tartelettes & Cookies",https://www.ism-cologne.com/exhibitor/ema_chocolate/
Emco spol. s.r.o.,Czech Republic,"Türkova 2319/5b, 149 00 Prague",http://www.emco.eu,11.2,D039,Fine bakery products | Snack foods | Sugar-free confectionary and snacks | Trend Snacks & Natural Snacks,"Fine bakery products > Cereal cookies | Snack foods > Biscuit snacks | Snack foods > Vegan snack foods | Snack foods > Sugar-free snacks foods | Snack foods > Gluten-free snack foods | Sugar-free confectionary and snacks > Sugar-free biscuits | Trend Snacks & Natural Snacks > Dried fruit and vegetables | Trend Snacks & Natural Snacks > Fruit-, Vegetable- and nut bars | Trend Snacks & Natural Snacks > Energy and sports bars | Trend Snacks & Natural Snacks > Cereals/Porridge",10,Emco,,,,,https://www.ism-cologne.com/exhibitor/emco/
Emilio GmbH,Germany,"Rheinpromenade 9, 40789 Monheim",http://www.richkids.de,10.1,L091,Snack foods | Sugar confectionery | Trend Snacks & Natural Snacks,Snack foods > Assorted nuts / assorted nuts and raisins | Sugar confectionery > Vegan products | Trend Snacks & Natural Snacks > Vegan trend snacks | Trend Snacks & Natural Snacks > Dried fruit and vegetables,4,DEDE Milchbubi Veggy Snacky,Halal Kosher Organic Vegan,,Canada Northern Europe Others Eastern Europe Southern Europe USA Western Europe,,https://www.ism-cologne.com/exhibitor/emilio_gmbh/
