no,name,website,category,booth,attributes,intro,exhibited_products,product_count,product_nos,product_names,image_url,company_url,archived_at
69,SHINKO CO LTD,https://www.petit-shinko.co.jp/,Sweets & Snacks,E3-K22,Japan exhibitors | Exportable,"The Japanese Fruit Juice Stick Sherbet is a sherbet product made with domestically produced fruit juice, which can be transported and sold at room temperature. Simply freeze it at home to enjoy. This product has ranked No. 1 in sales in its category for two consecutive years, 2023 and 2024, according to the Nikkei POS Selection. Additionally, our flagship product, Mini Donuts, holds the No. 1 market share in the baby donuts category in Japan.","90g Mini Donuts、200g Mini Donuts、85g Dondo-age Kyushu Soy Sauce Flavor、76g Dondo-age Okinawa Brown Sugar Peanut Flavor、Japanese Fruit Juice Stick Sherbet (Mango, Strawberry, Shine Muscat)、Japanese Fruit Juice Stick Sherbet (Melon, Mandarin Orange, White Peach)、Japanese Fruit Juice Bite-Size Sherbet、",7,9278 | 9290 | 9273 | 9303 | 9294 | 9299 | 9289,Shinko 200g Mini Donuts | Shinko 76g Dondo-age（Okinawa Black Sugar and Peanuts flavour） | Shinko 90g Mini Donuts | Shinko Frozen Mini sherbet | Shinko Frozen stick sherbet (Mango Flavour＆Strawberry Flavour＆Muscat Flavour) | Shinko Frozen stick sherbet (Melon Flavour＆Mandarin Flavour＆Peach Flavour) | Shinko 85g Dondo-age（Kyushu Soy Sauce flavour）,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_69.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=69,20250306231617
77,"Miyato Yaso Institute Co.,Ltd.",https://www.miyatou.co.jp/,Beverage,S1-R19,Japan exhibitors | Exportable,"Our company is a fermented food manufacturing company founded in the 1945s by microbial researcher Takashi Kondo. Located in Myoko City, Niigata Prefecture, one of the heaviest snowfall areas in Japan, in an environment blessed with rich nature and delicious water, we produce products made by fermenting mainly wildflowers, fresh vegetables and fruits with useful microorganisms. It has become. We make products with a focus on carefully selected raw materials, traditional fermentation techniques, and handmade products.","Yourase, Yourase raw, plateau spring (red), plateau spring (white), Le Lectier liquor, fig liquor",6,5202 | 4611 | 4606 | 3176 | 4604 | 4610,Fermented pomegranate (wild grape & pomegranate fermented extract) | Fig liquor | Le Lectier liquor | Plateau fountain (red) | Plateau fountain (white) | Yourase,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_77.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=77,20250306101232
89,CHOYA UMESHU,https://www.choya.co.jp/,Exports from Japan,S1-J10,Japan exhibitors | Exportable,"By carefully macerating large amounts of high quality ume fruit through our unique ageing process, the rich flavours along with natural organic acids are fully drawn out. | | Quality【 Highly selected ume fruit 】 | At CHOYA, we use only Japan-grown ume fruit. In addition, we work closely with local ume farmers to research and develop both ume and optimal soil on which it grows. | | Quantity【 Rich in natural ume fruit 】 | Our commitment to develop optimal soil results in an abundant harvest of high quality ume that are ideally suited for CHOYA’s Umeshu making. | | Ageing【 Still ageing process 】 | We have specially designed Umeshu storage tanks in order to protect against external influences such as light, temperature, and air, which in turn allows us to age the liqueur carefully and deliberately for more than one year to fully extract all ume components. | | No artificial ingredients【 Authentic Umeshu 】 | At CHOYA, we don’t use artificial additives such as acidulants, colourings, and flavourings |","The CHOYA SINGLE YEAR,The CHOYA AGED 3 YEARS,The CHOYA GOLDEN UME FRUIT,CHOYA Utage Aged 5 Years,The CHOYA Non Alcohol,CHOYA UME SODA Non Alcohol",9,931 | 939 | 937 | 935 | 1454 | 936 | 933 | 938 | 934,CHOYA UMESHU SODA 3％ | CHOYA Yowanai Ume Soda (Non Alcohol) | CHOYA “UTAGE” Pure Raw Material Ume Fruit Liqueur Aged 5 Years | The CHOYA Aged 3 Years | The CHOYA FRENCH OAK 2016 | The CHOYA from the Bio Farm | The CHOYA Golden Ume Fruit | The CHOYA Non Alcohol | The CHOYA Single Year,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_89.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=89,20250308105601
90,The Gifu Prefecture Food Diversity Challenge Project,https://jhba.jp/,Exports from Japan,S1-T10,Japan exhibitors | Exportable,"As part of its efforts to support local businesses in expanding their overseas markets, Gifu Prefecture has been implementing the ""Gifu Halal Challenge Project"" since 2015. Initially launched to develop distribution channels and promote sales in the Islamic market, this project marks its 10th anniversary this year. To commemorate this milestone, the project has expanded its focus to include the vegetarian market, embracing the broader theme of food diversity. Under this theme, a wide selection of carefully curated products will be showcased, reflecting Gifu Prefecture’s commitment to meeting diverse consumer needs.","We are pleased to introduce Gifu Prefecture's ""Food Diversity"" products, focusing on vegetarian and halal options.",0,,,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_90.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=90,20250309022124
98,"Kurata Foods Co.,Ltd.",https://www.fukuyama-ramen.com,Exports from Japan,S1-N12,Japan exhibitors | Exportable,Vegan Ramen,"Vegan Ramen Shoyu Dry Noodles 2-serving bag, Vegan Ramen Miso Dry Noodles 2-serving bag, Vegan Ramen Yuzu Salt Dry Noodles 2-serving bag, Vegan Ramen Veggie Potato Dry Noodles 2-serving bag, Vegan Ramen Curry Dry Noodles 2-serving bag, Vegan Ramen Curry Udon Dry Noodles 2-serving bag, Vegan Ramen Tantan Mian 2-serving bag, Vegan Ramen Tomato Spicy Rice Noodle Dry Rice Noodle 2 sachets, Vegan Instant Ramen Soy Sauce 1 Serving, Vegan Instant Ramen Miso 1 Serving |",5,2852 | 2845 | 2840 | 2832 | 2837,ALCOHOL FREE Hiroshima Soba with Sauce Powder 3 Servings | ALCOHOL FREE Vagan Instant Ramen MISO 1 Serving | Vegan Instant Ramen VEGEPOTA 1 Serving | Vegan Ramen SHOYU With Dried Noodles 2 Servings | Vegan Ramen TOMATO SPICY With Dried Noodles 2 Servings,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_98.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=98,20250308031424
100,"Koyo Orient Japan Co.,Ltd.",,Healthcare Foods,E5-D17,Japan exhibitors | Exportable,"These are healthy snacks made from Jerusalem artichokes produced in Kumamoto Prefecture. | We don't use wheat flour, eggs, dairy products, white sugar or baking powder. | Our Jerusalem artichoke cookies and powder are good for those who are at risk of developing diabetes and for health-conscious people. People with gluten intolerance can also eat it.",Jerusalem artichoke luxury cookies，Jerusalem artichoke magic powder,4,2579 | 3004 | 1140 | 1145,Deep Steamed Green Tea Bag (20p) | Hojicha Powder brewed with milk100g | Jerusalem Artichoke Luxury Cookies | Jerusalem Artichoke Magic Powder,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_100.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=100,20250308053458
104,MEIWA,https://www.mensho-an.co.jp,Processed Food,E1-V04,Japan exhibitors | Exportable,"Baby somen (baby food), udon, OEM production products","We are exhibiting ""Baby Churu"", including baby somen (baby food), as well as our own original noodles (hand-pulled somen, udon) and noodles from all over Japan. We are also introducing OEM manufacturing.",0,,,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_104.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=104,20250307221516
106,"UENOCHU CO., LTD..",https://uenochu.co.jp/,Exports from Japan,S1-R03,Japan exhibitors | Exportable,We will be showcasing products with Japanese flavors for inbound (international) markets. We handle edible ingredients such as sakura (cherry blossom) and mochi.,"Sakura Gelée UC, Sakura Shave Chocolate UC, Salt-Cured Sakura Petals M-5, Mochi Gyuhi Sheet+1.0, Warabi Mochi Sheet",5,6428 | 6253 | 6346 | 6421 | 6426,Mochi Gyuhi Sheet ＋1.0 | Sakura Gelée UC | Sakura Shave Chocolate UC | Salt-Cured Sakura Petals M-5 | Warabi Mochi Sheet,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_106.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=106,20250309014843
109,"INTERNATIONAL IST CO.,LTD.",https://www.i-ist.co.jp/,Seafood,E7-F13,Japan exhibitors | Exportable,1次加工、2次加工、お客様のご要望にお応えできる加工技術があります。ご相談下さい。,伊勢海老、鮑、オマール海老、海産物全般,0,,,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_109.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=109,20250308001311
110,"Tokachi Daifuku Honpo, Inc.",https://www.tokachidaifuku.com/,FOODEX Frozen Sweets & Snacks,E6-U06,Japan exhibitors | Exportable,"Tokachi Daifuku Honpo was established in 1961 and is a confectionery manufacturer in Hokkaido. We mainly supply for mass retailers and convenience stores all over Japan. | At FOODEX 2025, you can enjoy various ways of showing our Japanese dessert(Wagashi).","Chocolate rice cake, Oat milk Daifuku, Strawberry Warabi Daifuku, Caramel Daifuku, Sakura Cream Daifuku, Three colors Dango, Warabi Mochi, Japanese Parfait, Omelette Dorayaki, Dorayaki, Plant-based Taiyaki",12,3096 | 3097 | 3426 | 3098 | 3099 | 3100 | 3106 | 11007 | 3118 | 3119 | 3121 | 3427,T001 Chocolate Rice Cake | T002 Oats Milk Daifuku | T003 Strawberry Warabi Daifuku | T004 Caramel Daifuku | T005 Sakura Cream Daifuku | T006 Three Colors Dango (Flavor: Plain・Sakura-flavored Sauce・Sweet Soy Sauce・Rich Caramel) | T007 Warabi Mochi (Flavor: Kinako・Matcha・Houjicha) | T008 Hokkaido Milk Cream Daifuku | T009 Sweet Omelet (Flavor: Hokkaido Milk・Cocoa・Uji-matcha・Strawberry・Cooke&Cream・Peanut Butter・Caramel・Red Velvet Cheese) | T010 Dorayaki (Chocolate Mint・Sakura Cream・Sweet Potato) | T011Taiyaki (Flavor: Red Bean Paste・Plant-based Custard) | T012 Gyūhi sheet・Gyūhi Pearl,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_110.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=110,20250309021650
121,Wakame Foods,https://wakashoku.jp/,FOODEX Frozen Processed Food,E6-K09,Japan exhibitors | Exportable,"The distinctive red color of the Wakame Foods booth. | | The booth is a mix of traditional Japanese culture and anime culture, and the products on display can be enjoyed just by looking at them. | | Why don't you spend a pleasant moment at the booth? | | For tasting, we will offer products that won the Grand Prix, the highest award, at the 81st Japan Food Selection. | | We are sure that our offerings will add value to your business. | | The origin of the company name Wakame Foods is that we are a company where women play an active role. We are a company where many women are active. | | Founded in 1907, our company has been producing oden and other fish paste products, a traditional and well-known Japanese food, for 118 years. | | We make products using traditional techniques that have been handed down for over 118 years, and our factory is certified under the international standard FSSC22000. | We make products that are safe to eat in our own factory. | We are also committed to the SDGs and have obtained international certifications such as MSC and ASC, aiming for a sustainable world and an environmentally friendly factory.","Many kinds of fish paste products, crab cakes, oden, etc. | | MSC Scallop Flavor Fries, MSC Crab Flavor Fries, MSC Anime Scallop Flavor Fries, MSC Anime Crab Flavor Fries, Japanese Izakaya Oden Set, | Crab stick for hot pot, Satsuma-age, Thick fried fish, Seafood tsumire set, | MSC fish hamburger steak, steamed fluffy steamed fish with Kyoto Kujo leeks, deep fried scallop flavored fried fish, tsumire with red snow crab, tsumire with crab, tsumire with shrimp, chicken burdock tsumire, sardine tsumire, NEO crab stick, ocean fresh, fried white fish, crab flavored dumpling, fish hamburger steak with crab, with shrimp fish burger with shrimp, fish hamburger with scallop flavor, chigiriage, burdock maki, kakuten, round tempura,",5,5923 | 5922 | 11094 | 3192 | 4827,Crab stick fish cake | Fish hamburger steak | Fried Crab Flavor | Fried Scallop Flavor | 【hot pot】IZAKAYA ODEN（fish cake）,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_121.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=121,20250309003202
125,Shizuoka Prefectural Federation of Societies of Commerce Industry,,Local Specialities in Japan,S2-K13,Japan exhibitors | Exportable,"We carry products from 6 companies, including hidden specialties that can only be seen here.",Selected specialty products from Shizuoka,0,,,,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=125,20250317231200
128,Chiba Prefecture,,Local Specialities in Japan,S2-K15,Japan exhibitors | Exportable,"Welcome to the Chiba Prefecture booth! | We are excited to showcase a handpicked selection of local businesses offering a wide variety of high-quality and unique food products. From fresh ingredients nurtured by our rich land and sea to innovative creations inspired by tradition, Chiba offers a taste experience like no other. We invite you to explore the flavors of Chiba and discover the perfect blend of authenticity and innovation. Taste and experience the best of what we have to offer!","Miso, | Peanuts, Sweets, | Gyoza (Dumplings), Vegan, Vegetarian, | Sake (Japanese Rice Wine), Liqueur, | Processed Seafood, Shime Saba (Pickled Mackerel), | Tamagoyaki (Japanese Omelette), | Soy Sauce, | Tuna, | Yogurt, Jersey Milk, Cheese, | Smoked Foods, Blueberry, Maple Syrup, | Gibier (Game Meat), | Organic, JAS (Japanese Agricultural Standard), Soba (Buckwheat Noodles), Barley Tea, Wheat Flour, | Ham, Sausage, Hamburger Patty, | Rice Flour, Amazake (Sweet Rice Drink), | Pork, Wiener (Sausage)",0,,,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_128.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=128,20250308101132
139,hotatoes dah chong hong japan ltd,https://www.dch-japan.com/,Imports Food,E6-G12,Japan exhibitors | Exportable,,"frozen, canned food, oil, french fry, shoestring, wedge, straight, cheese, olive oil, corn, tuna, tomato, green pepper, sardine, yellow peach, pear, apricot, fruit cocktail, pineapple, mandarin orange, white peach",0,,,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_139.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=139,20250312183042
140,UNIFOODS,http://www.unifoods.co.jp/newproduct/,Imports Food,E6-H22,Japan exhibitors | Exportable,"FROZEN VEGETABLE,FROZEN FOOD",FROZEN VEGETABLE、FROZEN FOOD,0,,,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_140.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=140,20250309005825
143,JN GLOBAL LLC.,https://www.jnglobal.co.jp/,Processed Food,E1-G04,Japan exhibitors | Exportable,"We are an import and export trading company located in Osaka. | We do business with many domestic food manufacturers, and we can export products from various manufacturers to overseas markets by consolidating. | Not only food, we also handle non-food products as well. | We will also introduce imported Korean food products.","JAPANESE FOODーBEVERAGES, CONFECTIONERY、SNACKS,RAMEN, SEASONING, CONDIMENTS, BREAD SPREAD, FROZEN FOOD, FROZEN BREAD | IMPORTED KOREAN FOODーSNACKS,GUMMIES",5,10469 | 11226 | 11219 | 10503 | 10501,Japanese Taste Gummy Mitarashi Mochi | Miyazaki Spicy Noodle | Traditional Korean Confectionery Yakka | Yogurppe Light | Yokohama Iekei style shoyu tonkotsu ramen,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_143.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=143,20250311090846
168,"MIKAWA MIRIN SUMIYA BUNJIRO BREWERY CO.,LTD.",http://www.mikawamirin.jp,Exports from Japan,S1-V11,Japan exhibitors | Exportable,It found in 1910. Hekinan city is the home of authentic Mirin. We have been devoting only to produce Mirin. We use fine quality domestically grown rice with the traditional method. It means that making our Mirin is necessary to the same amount of rice.,Sanshu Mikawa Mirin(Sweet rice seasoning)、Organic Sanshu Mirin(Organic Sweet rice seasoning),2,865 | 866,Ｍｉｋａｗａ Ｍｉｒｉｎ | Ｏrｇａｎｉｃ Ｍｉｋａｗａ Ｍｉｒｉｎ,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_168.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=168,20250307213828
178,"Tomoda Selling&Sailing Co.,Ltd.",https://tomoda.co.jp/,FOODEX Frozen Fresh Products,E6-Q03,Japan exhibitors | Exportable,We look forward to serving you our patented technology 「JYOKI-NO-WAZA」used products for tasting. |,・Red Snow Crab Meat Products | | ・Snow Crab Meat Products | | ・Value Added Crab Delivatives Products,0,,,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_178.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=178,20250309020742
182,KEII CO LTD,https://pinksalt.com.cn,Condiments / Seasoning,E1-H04,Japan exhibitors | Exportable,Our booth is located at E1-H04,"Glass Grinder-Himalayan Pink Salt-Coarse, Glass Grinder-Himalayan White Salt-Coarse, Plastic Grinder-Himalayan Pink Salt-Coarse, Plastic Grinder-Himalayan White Salt-Coarse, Plastic Shaker-Himalayan Pink Salt- Coarse, Plastic Shaker-Himalayan White Salt- Coarse, Plastic Shaker-Himalayan Pink Salt- Fine, Plastic Shaker-Himalayan White Salt- Fine, Plastic Pouches-Himalayan Pink Salt- Coarse, Plastic Pouches-Himalayan Pink Salt- Fine, Plastic Pouches-Himalayan White Salt- Fine, Salt Lamps, Salt Rock",0,,,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_182.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=182,20250311183840
185,"Bio-Theta., Ltd.",https://www.bio-theta.co.jp/,Food Safety,E7-Z04,Japan exhibitors | Exportable,"The Food Bacteria Count System “DOX SYSTEM” | | Food Sanitation Inspection Guidelines,Microorganisms Edition 2018 (included) | AOAC Research Institute Performance Tested Methods℠ License Number 040801/120801 | | DOX is a ""reliable"" and ""accurate"" bacterial testing system that has been listed as a rapid and easy method in the Microorganisms Edition of the Food Sanitation Inspection Guidelines since 2015. | | 【Product Concept】 | Count food bacteria in-house, quickly and easily! | | 【DOX Advantages in Food Bacteria Counting】 | ・Inspections only take 3 steps | Tests can be performed in just three steps: adjust the sample solution with raw material and diluent, place the culture medium and sample solution in a disposable cell cartridge, and set it in the main unit. | | ・The greater the abnormality, the sooner the detection | The conventional method takes 24 to 72 hours just to incubate a sample, but with DOX, a viable count of 10^5 CFU/g can be detected in about 6 hours. The principle of the oxygen electrode method allows for a rapid response to any abnormality detected because the higher the number of bacteria, the quicker the reaction appears.",Food Bacteria Count System “DOX SYSTEM”,1,878,Food Bacteria Count System「DOX」,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_185.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=185,20250307002519
189,ITOEN,https://www.itoen.co.jp/,Beverage,S2-A07,Japan exhibitors | Exportable,"The main exhibits will be ""Oi Ocha"" and ""MATCHA GREEN TEA"" products.","Oi Ocha,MATCHA GREEN TEA",4,11567 | 11331 | 11566 | 11332,ITOEN MATCHA GREEN TEA tea bags/ 伊藤園 MATCHA GREEN TEA ティーバッグ | ITOEN Matcha Powder (Green Tea Powder) for business use / 伊藤園抹茶 | ITOEN Organic Matcha 100g with JAS organic mark / 伊藤園 お～いお茶有機 100g | Oi Ocha Unsweetend Green Tea /Roasted Green Tea /Roasted Rice Tea,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_189.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=189,20250313010824
199,LOVITA CORPORATION JAPAN,https://frenature.com/index.php/ja/,Processed Food,E1-V03,Japan exhibitors | Exportable,"At Freneature, we offer high-quality, healthy, and delicious snacks made from 100% natural ingredients. We do not use any preservatives or additives, maximizing the natural flavors while meeting international quality standards. | | We maintain local stock and have obtained the necessary import permits, allowing us to supply products directly from the source to Japan quickly and smoothly. Freneature is a globally registered trademark, providing your company with the assurance of a reliable brand. | | Our product lineup includes crispy snacks, freeze-dried products, IQF varieties, and fresh coconut chips. We offer natural and delicious snacks that cater to the health-conscious consumer, strengthening your product line based on retail and wholesale needs. | | By partnering with us, you gain access to high-quality products, a reliable supply chain, and globally recognized brand support. We look forward to providing your market with the highest quality and healthiest snacks.","Banana chips, burdock chips, okra chips, carrot chips, green bean chips, king oyster mushroom chips, pumpkin chips, freeze-dried blueberries, freeze-dried cranberries, coconut chips.",10,9210 | 9223 | 9216 | 9229 | 9230 | 9231 | 9217 | 9218 | 9220 | 9221,Frenature Banana Chips 60g | Frenature Burdock Chips 40g | Frenature Carrot Chips 40g | Frenature Coconut Chips 50g | Frenature Freeze-Dried Blueberries 25g | Frenature Freeze-Dried Cranberry 25g | Frenature Green Bean Chips 40g | Frenature King Oyster Mushroom Chips 40g | Frenature Okra Chips 40g | Frenature Pumpkin Chips 40g,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_199.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=199,20250308000415
207,ADTEC,https://www.adtec.co.jp/,FOODEX TECH,E7-W04,Japan exhibitors | Exportable,"[A revolution in oil for restaurants!] We will be exhibiting ""Agemono GO,"" an add-on device for commercial fryers. | We will be demonstrating and tasting the fried food of the future, so we look forward to seeing you there.",AGEMONOGO,1,9621,AGEMONO-GO,,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=207,20250307172301
