no,name,categories,target_sector,specialities,certifications,about_importers,company,company_url,company_attributes,pavilion,booth,exhibited_products,show,image_url,product_url
216,Twice fermented soy sauce perfect for fish dishes,Soy Sauce,"Retail store(supermarket), Department store, Online sales, Restaurant","This soy sauce is produced using twice fermentation method, which creates richer taste and excellent aroma compared to general soy sauce. This soy sauce is especially good for fish dishes. Double-layer bottles used in this product prevent oxidation of the soy sauce and keep its freshness effectively.",SQF,,"MIYAJIMA SHOYU CO.,LTD.",https://www.miyajima-soy.co.jp/english-site,Japan exhibitors | Exportable | Co-exhibitor | Organizer : JAPAN SHOYU ASSOCIATION,Exports from Japan,S2-C29-026,"Soy Sauce, Dashi Stock, Processed Soy Sauce Products (Men-Tsuyu), Mixed Spice Seasoning, Sauce, Yuzu Ponzu Sauce, Barbecue Sauce, Liquid Seasoning, Powder Seasoning, Products for HORECA (Hotel, Restaurants, Cafe) , PB/ODM/OEM Production",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_216.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=216
218,Khustai Gouda,Alternative Milk Products | Cheese | Vegetarian | Organic Products,"Our target market includes high-end artisanal cheese aficionados, wine bars, restaurants, cheese enthusiasts, wine drinkers, and everyday consumers. In Japan, the consumption of premium artisanal cheeses has steadily grown as Western food culture influences increase through globalization and tourism. High-quality cheeses are featured in top European restaurants, and more Japanese consumers are pairing them with fine wines. Cheese consumption in Japan grew after 1964 and the Tokyo Olympics, with the popularity of Italian dishes like pizza and pasta. Despite the steady growth of domestic cheese demand, Japan relies heavily on imports, covering only 12.1% of cheese production in 2020. To reduce dependence on imports, the Japanese Ministry of Agriculture has incentivized local farmers to sell raw milk to cheese producers. However, with increasing demand for high-end cheeses, Japan's cheese market remains dependent on imported artisanal products.","We sell our cheeses in our high-end food products shops “Fromagerie MACU The Shop”, and also cook delicious recipes with it in our restaurant “Fromagerie MACU” based in Ulaanbaatar, Mongolia. We also sell it to other high-end restaurants in Ulaanbaatar and in Hong Kong.","MNTR2:2011: ""Technical regulations for the production and trade of milk products"" ; MNS4228:2011: ""A",We don't have an importer,MACU (Mongolian Artisan Cheesemakers Union) LLC,https://www.facebook.com/FromagerieMACU/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MONGOLIA,National Pavilion,E5-Y11-00,"We produce and sell Mongolian artisanal cheeses. For Foodex, we will present our flagship product, Khustai Gouda, the oldest and premier Mongolian cheese, made continuously for 30 years in the Khustai National Park. Produced by Tumurkhuyag Urtnasan and his family since 1995, it comes from a remote, nomadic area 80 km southwest of Ulaanbaatar. Khustai Gouda is unique for several reasons. The milk used comes from cows grazing on wild forbs in high-altitude pastures. This summer milk is rich in proteins and minerals, giving the cheese its distinctive flavor. Handmade in small batches, the cheese is salted and aged for 2-3 months in a wooden shed before further maturation near Ulaanbaatar. Some batches age up to 18 months, resulting in a firm, crumbly texture and a flavor that evolves from mild and slightly salty to rich, nutty, and caramelized with umami notes. Unlike industrial Gouda, it contains no preservatives or additives, reflecting the pure taste of Mongolian milk. Khustai Gouda stands out for its exceptional quality and pairs well with wine, enhancing dishes like fondue and pasta.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_218.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=218
219,Frozen spring rolls pastry,Frozen Baked Goods | Frozen Ready Meals | Vegetarian | Halal,"Spring rolls pastry in food service and retail pack | 10"", 8.5"", 7.5"", 6"", 5""",Home brand and private label (OEM) spring rolls pastry for HORECA and retail,Other HACCP | HALAL,We don't have an importer,Bumimas Food Manufacturing Sdn. Bhd.,https://kimyam.com.my,Overseas exhibitors | Exportable,,E5-X27,"Frozen French Fries, Frozen Hash Brown, Frozen Spring Rolls Pastry, Frozen Paratha Pastry, Frozen Gyoza Pastry, Frozen Wonton Pastry, Frozen Dumpling Pastry, Frozen Sweet Corn, Frozen Sweet Corn Cob, Frozen Mantou, Frozen Steam Buns, Frozen Glutinous Rice Ball, Frozen Tortilla, Frozen Pita Breads.",FOODEX Frozen Processed Food,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_219.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=219
230,FOOD TAIPEI 2026,"Baked Goods | Production Management | Cakes / Dessert | Order Management | Bread | Image Inspection | Japanese sweets | Voice Input | Gluten-free | Equipment Maintenance | Bottled Water | Generative AI | Carbonated Soft Drinks | Data Analysis | Coffee | Sales Promotion | Energy Drinks | Others | Flavoured Water | Instant Beverages | Juice | Non-alcoholic Beverages | Smoothies | Tea | Eggs & Egg Products | Mushroom | Fresh Fruit & Vegetables | Soy Sauce | Miso | Powdered Seasoning | Liquid Seasoning | Vinegar | Canned Products | Dried Fruits | Dry Seafood | Pasta | Alternative Milk Products | Butter | Cheese | Cream & Cream Products | Milk | Yoghurt (NULLRegular, Flavoured, Fruit, etc.) | Tofu/Natto | Fortified & Functional Products | Protein Drink | Supplements | Health & Wellness Products | Frozen Baked Goods | Frozen Dairy Products | Frozen Fruit & Vegetables | Frozen Meat | Frozen Seafood | Frozen Ready Meals | Ice Cream / Sorbet Gelato | Vegetarian | Vegan | Halal | Kosher | Dried Meat | Organ Meats & Offal | Poultry & Feathered Game | Processed Meat | Unprocessed Meat | Organic Products | Seafood | Savoury Baked Products | Savoury snacks | Vegetable snacks | Cereals / Fruit Bars | Crackers | Dates & Date Palm Products | Dried Fruit & Vegetables | Finger Food | Nuts | Popcorn | Salty Snacks | Spreads, Honey & Jams | Vegetable & Animal Oils & Fats | Breakfast Cereals | Coffee Beans | Pulses | Rice | Wheat | Packaging | Sanitary | Cooking and Baking Equipment | Refrigeration and Cooling Equipment | Food Preparation Equipment | Beverage Equipment | Professional Services | Still wines - red | Still wines - rose | Still wines - white | Sparkling wines | Fortified wines | Flavored wines | Dessert wines | Organic wines | Vegan wines | Fruit and flavored | Non-alcoholic wines | Low-alcoholic wines | Beer | Japanese Sake | Shochu | Fruit Liqueur | Spirits | Whiskey | Others | Solid Seasonings | Rice Toppings & Ochazuke Mixes | Ready-to-eat Foods, Sealed Packaged Foods (e.g., curry, rice bowl toppings) | Rice Crackers & Healthy Snacks | Plant-based / Alternative Foods",1. Precision Nutrition: Companies specializing in personalized health and nutrition solutions. | 2. Plant-Based Products: Buyers seeking sustainable and plant-derived food alternatives. | 3. Ready-to-Eat Delights: Retailers and foodservice operators offering convenient meal solutions. | 4. Functional Beverages: Brands and distributors focused on health-oriented and fortified drinks.,"FOOD TAIPEI, Asia’s premier food exhibition, leads with the themes of SMART EATING and GREEN LIVING. It gathers top brands across every food sector—from fresh produce and seafood to snacks, beverages, and organics. | Debuting in 2026, the “Fresh Living” Area at TWTC Hall 1 will feature precision nutrition, plant-based products, ready-to-eat delights, and functional beverages. | As the gateway to Asia’s food market, FOOD TAIPEI is the stage to showcase innovation, connect with buyers, and unlock global opportunities.",,,FOOD TAIPEI 2026 (TAITRA),,Overseas exhibitors | Exportable,National Pavilion,E6-DD83,,FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_230.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=230
231,Akajishi Tare (Miso Flavor)・Aojishi Tare (Soy Sauce Flavor),Liquid Seasoning,"Retail store(supermarket), Department tore, Online sales, Restaurant","Akajishi Tare (Miso Flavor)：This is miso flavored-tare sauce using chili pepper grown in Karatsu, Japan. Rich spiciness of the red chili pepper and flavor from the miso make this tare more flavorful. This tare is not only good for grilled meat but also for cooking stir-fried vegetables. | Aojishi Tare (Soy Sauce Flavor)：This is soy sauce flavored-tare sauce using chili pepper grown in Karatsu, Japan. Lingering spiciness of the green chili pepper and flavor from the garlic make this tare more distinctive. This tare is not only good for grilled meat but also for cooking stir-fried rice.",,,"MIYAJIMA SHOYU CO.,LTD.",https://www.miyajima-soy.co.jp/english-site,Japan exhibitors | Exportable | Co-exhibitor | Organizer : JAPAN SHOYU ASSOCIATION,Exports from Japan,S2-C29-026,"Soy Sauce, Dashi Stock, Processed Soy Sauce Products (Men-Tsuyu), Mixed Spice Seasoning, Sauce, Yuzu Ponzu Sauce, Barbecue Sauce, Liquid Seasoning, Powder Seasoning, Products for HORECA (Hotel, Restaurants, Cafe) , PB/ODM/OEM Production",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_231.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=231
234,Non-Alcohol SAIKA Yuzu Rochk’n Yuzu,Juice | Non-alcoholic Beverages | Vegan | Halal | Kosher,"・Halal, Kosher and Vegan. | ・People who don't drink alcohol. People who can't drink alcohol.","This non-alcoholic yuzu drink is Halal, Kosher, and vegan certified. | Different from yuzu juice, it features the refreshing aroma and rich acidity that only yuzu can offer. | Can be enjoyed on the rocks, straight, with soda, warm, or poured over ice cream. |","HALAL | FDA | Kosher, Vegan",We don't have an importer,"Kokonoesaika Co.,Ltd.",https://www.kokonoesaika.co.jp,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Wakayama Prefecture,Local Specialities in Japan,S2-C12-00,"Non-alcoholic, red vinegar, sake, liqueur",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_234.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=234
292,SAIKA Yuzushu,Vegan | Kosher | Fruit Liqueur,"・Japanese restaurants, bars, and eateries | ・Liqueur lovers | ・Yuzu lovers | ・People looking for kosher and vegan liqueurs |","This yuzu liqueur is made using sake and features the refreshing aroma and rich acidity unique to yuzu. | It can be enjoyed on the rocks, straight, with soda, warm, or poured over ice cream. | This yuzu liqueur is kosher and vegan certified. | London Sake Challenge 2020: Platinum Award Winner","FDA | Kosher, Vegan",We don't have an importer,"Kokonoesaika Co.,Ltd.",https://www.kokonoesaika.co.jp,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Wakayama Prefecture,Local Specialities in Japan,S2-C12-00,"Non-alcoholic, red vinegar, sake, liqueur",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_292.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=292
324,Farmed Red Seabream Fillet,Frozen Seafood | Seafood,"Trading and wholesale,Super market,Hotel,banquet","These fillets of proton-frozen sea bream are caught in the Sukumo region,one of japan's leadingaquaculture fishing grounds,and processed on the same day. | The fish is fed with locally ginger,which reduces the fish's distinctive odor and gives it a stronger umami tasete than regular snapper.",Other HACCP,We don't have an importer,"YORIKISUISAN Co.,Ltd",https://yorikisuisan.co.jp/,Japan exhibitors | Exportable | Co-exhibitor | Organizer : KOCHI SEAFOOD EXPORT PROMOTION ASSOCIATION,Seafood,E7-C13-00,"Fish, Fresh fish, Frozen fish, Seafood, Madai, Kinmedai, Katsuo, Buri, Maguro, Aji, Kue, Shimaaji",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173164740655.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=324
343,TROFICO - Greek Olives jars,Vegan | Kosher | Organic Products,TROFICO - Greek Olives jars,,ISO9001 | ISO22000 | FSMA | FDA | EU Organic Certification | Non-GMO Certification,We don't have an importer,TROFICO S.A.,https://www.troficosa.com,"Overseas exhibitors | Exportable | Co-exhibitor | Organizer : ENTERPRISE GREECE, INVEST AND TRADE S.A",National Pavilion,E1-A15-00,"Olives, Olive pasta, Olive oil",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173175365915.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=343
345,4DROPS Greek Extra Virgin Olive Oil,Vegetable & Animal Oils & Fats,4DROPS Greek Extra Virgin Olive Oil,,ISO9001 | ISO22000 | FSMA | FDA | EU Organic Certification | Non-GMO Certification,We don't have an importer,TROFICO S.A.,https://www.troficosa.com,"Overseas exhibitors | Exportable | Co-exhibitor | Organizer : ENTERPRISE GREECE, INVEST AND TRADE S.A",National Pavilion,E1-A15-00,"Olives, Olive pasta, Olive oil",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=345
347,Steamed Hokkaido Octopus Premium,Seafood,,,,,"SHIMIZU SHOTEN CO., LTD.",,"Japan exhibitors | Exportable | Co-exhibitor | Organizer : Organization for SME and Global Business Support, IBARAKI",Exports from Japan,S2-C23-006,,FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=347
381,83 Islands Distillery,Others,,"Our exceptional Yumi Rum and Aged Rum from 83 Islands Distillery have both secured Silver Awards at the prestigious London Spirits Award competition, achieving remarkable scores of 88 and 87 points, respectively!",Other HACCP,We don't have an importer,Vanuatu Chamber of Commerce and Industry,https://vcci.vu/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Pacific Islands Centre,Imports Food,E6-C23-00,"Rum, Chocolate, Vanilla, Pepper, Virgin Oil, Coffee",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_381.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=381
389,Gaston Chocolat,Baked Goods | Health & Wellness Products,,Our 70% Dark is fruity and intense. Amelonado Cocoa Variety harvested on Malekula Island has developed Cherry and Fig flavours which blend with intensity of chocolate and an Arabica coffee finish. It took several seasons of detailed work with the cocoa growers to find the right fermentation patterns and adapt this throughout harvest seasons and temperature variations to come up with this unique combination of fruitiness and strength.,Other HACCP,We don't have an importer,Vanuatu Chamber of Commerce and Industry,https://vcci.vu/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Pacific Islands Centre,Imports Food,E6-C23-00,"Rum, Chocolate, Vanilla, Pepper, Virgin Oil, Coffee",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_389.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=389
403,Vanilla Extract,Liquid Seasoning,,"Vanilla is a spice, a perennial plant from the orchid family. This splendid orchid plant was introduced to the Cook Islands in 1942. Vanilla plants thrive in hot-humid tropical climates which makes the Cook Islands ideal conditions. The Cook Islands has a great opportunity to pounce on vanilla production as there is a huge global demand overseas. Vanilla is a money-making crop for a small farmer, a kilogram of these pods can fetch up to $1000 per kilo. The Cook Islands has adequate conditions to grow one of the most profitable spices in the world.",,We don't have an importer,Turepu Vanilla Ltd,,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Pacific Islands Centre,Imports Food,E6-C23-00,Vanilla Beans、Vanilla Extract,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_403.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=403
