no,name,has_detail,company_no,company,company_website,company_category,booth,attributes,categories,target_sector,specialities,certifications,exhibited_products,image_url,product_url
50,VIDA ZERO SAKURA SPARKLING DRINK,no,604,THE VIDA WORLD SDN BHD,https://vidaworld.com.my/,Beverage,S2-A01,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=50
54,Ladyfingers,yes,627,Bonomi SPA,https://www.fornobonomi.com,Imports Food,E6-Z12,Overseas exhibitors | Exportable,Baked Goods | Cakes / Dessert | Bread | Japanese sweets | Gluten-free,"Bakery, Cake Industry",,ISO9001 | ISO22000 | HALAL | EU Organic Certification,"Ladyfingers (for tiramisù cake), puff pastry glazed and sugar topped, shortbread, puff pastry savoury (cheese, rosemary and pepper, tomato and oregano), Mini-ladyfingers (for tiramisù cake in small cups).",,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=54
55,Puff Pastry Sweet,no,627,Bonomi SPA,https://www.fornobonomi.com,Imports Food,E6-Z12,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=55
56,Puff Pastry Savoury,no,627,Bonomi SPA,https://www.fornobonomi.com,Imports Food,E6-Z12,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=56
57,Shortbread,no,627,Bonomi SPA,https://www.fornobonomi.com,Imports Food,E6-Z12,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=57
62,Jomara Premium Organic Plain Dates,no,657,Jomara Premium Organic Dates - Bateel Group Brand,https://jomara.com/,Imports Food,E3-Q06,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=62
80,Plant-based Salami and Chorizo (Soy Based),yes,689,Beanstalk food S.L.,https://beanstalkfoods.com/en/,Plant Based / Alternative Food,E5-K11,Overseas exhibitors | Exportable,Frozen Fruit & Vegetables | Frozen Ready Meals | Vegetarian | Vegan | Halal | Savoury snacks,"Plant-Based Foods, Vegan & Vegetarian Products, Meat Alternatives, Health & Wellness, Sustainable Foods, Gourmet and Specialty Foods","High-Protein, Low-Fat, 100% Plant-Based and Vegan, Fermented for Rich Flavor, Non-GMO Soy Ingredients, Sustainable and Eco-Friendly Production, Cholesterol-Free and Heart-Healthy, Allergen-Friendly Options Available, Supports a Healthy Lifestyle and Environment, Rich Usage Scenes.",ISO9001 | ISO22000 | Other HACCP | HALAL | FDA | GMP | Non-GMO Certification,"Meat alternative, plant-based meat, vegan food, vegan snacks, vegan sauce, vegan salami, vegan Chorizo, vegan calamari, vegan chicken, vegan pastrami, vegan bolognese, vegan meatballs, vegan burger patty, vegan savory protein bar, vegan fish fingers, vegan cubed ham, vegan pulled pork, vegan minced meat, vegan crab paste, vegan chicken nuggets",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_80.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=80
87,Namazume Barley Miso 500g,yes,641,"Fundokin Shoyu Co., Ltd.",https://www.fundokin.co.jp/,,S2-K33-019,Japan exhibitors | Exportable | Co-exhibitor | Organizer : JAPAN FEDERATION OF MISO MANFRS CO-OPS,Miso,,"Barley miso is a traditional miso in Kyusyu area in Japan, it has a rich sweetness and aroma compared to mixed miso.",FSSC22000,"Soy Sauce, Miso, Dressing",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_176224569213.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=87
90,Namazume Mixed Miso Organic 500g,yes,641,"Fundokin Shoyu Co., Ltd.",https://www.fundokin.co.jp/,,S2-K33-019,Japan exhibitors | Exportable | Co-exhibitor | Organizer : JAPAN FEDERATION OF MISO MANFRS CO-OPS,Miso,,This is a non-additive mixed miso with organic rice and organic soybeans as raw materials. | It is authorized by Organic JAS.,Organic JAS Mark | FSSC22000,"Soy Sauce, Miso, Dressing",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_90.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=90
101,Junimperium Blended Dry Gin alc. 45% vol 0.7L,no,797,Junimperium distillery,https://junimperium.ee/en/gins/,National Pavilion,E3-S09-00,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Taste Estonia,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=101
103,Plant-based Chicken Nuggets (Soy Based),no,689,Beanstalk food S.L.,https://beanstalkfoods.com/en/,Plant Based / Alternative Food,E5-K11,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=103
105,KAORIBAKO 1KG,yes,55,SUGIYO,https://www.sugiyo.co.jp/en/,,E6-G64,Japan exhibitors | Exportable,Frozen Seafood | Halal | Processed seafood products,"Sales Channels: | Foodservice, ready-made meal providers, trading companies, wholesalers, manufacturers, supermarkets, department stores, other retail outlets | | Target Customers: | Primarily men and women aged 30 to 60. The product appeals to households that enjoy high-quality Japanese cuisine, health-conscious consumers, and a broad range of customers who shop at deli counters and sushi sections.","【This product is developed with halal-friendly recipes in preparation for the Halal market, and we are targeting Halal certification around June 2026. The ingredients and formulation are designed to suit a wide range of global application. 】Kaoribako is a high-end crab-flavored product that replicates the appearance and taste of snow crab (zuwaigani). It is one of Sugiyo’s flagship items and was awarded the prestigious Emperor’s Cup at the 45th Agriculture, Forestry and Fisheries Festival in Japan. | Made with high-quality Alaska pollock surimi, Kaoribako delivers a flavor and texture close to the real thing. As a ready-to-eat product, it requires no heating and is ideal for various professional applications such as sushi toppings, sashimi-style dishes, salads, and soups. | Packaged in a 1kg IQF (Individually Quick Frozen) format, it allows for easy portion control—just thaw the amount needed—making it highly convenient for foodservice operations and contributing to reduced food waste. | Its delicate fiber-like texture and vibrant color enhance the visual appeal and perceived value of dishes, earning high praise as a premium ingredient for professional use.",US-HACCP | FDA,"<Imitation Crab> | Uminokaori, Dandankaniyanagi, Royal Carib, Kaoribako, Takuminokanikama, Otonanokanikama | <Fried Fish Cake> | Unakamachan, Shiromisakanaage, Kagaage, Chikuwa | <Other> | Yuzu Sasakama, Wasabi Sauce, Tenigirisatsumagushi, Cheese Korokoro, Baked Fish Stick with Three Cheeses, Fish Stick with Salmon, Lobster-like Fish Stick, Tsuyujiman Oden",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_176231223465.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=105
111,Plant-based Seafood Ring,no,689,Beanstalk food S.L.,https://beanstalkfoods.com/en/,Plant Based / Alternative Food,E5-K11,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=111
113,NUÑEZ DE PRADO ORGANIC EXTRA VIRGIN OLIVE OIL,no,692,NUNEZ DE PRADO ORGANIC FARMING,,Imports Food,E2-BB15,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=113
115,Plant-based Fried Chicken (Karaage Chicken / Original Chicken Bites) (Wet extrusion),no,689,Beanstalk food S.L.,https://beanstalkfoods.com/en/,Plant Based / Alternative Food,E5-K11,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=115
127,Plant-based Pulled Pork (Wet extrusion),yes,689,Beanstalk food S.L.,https://beanstalkfoods.com/en/,Plant Based / Alternative Food,E5-K11,Overseas exhibitors | Exportable,Frozen Fruit & Vegetables | Vegetarian | Vegan | Halal,"Plant-Based Foods, Vegan & Vegetarian Products, Meat Alternatives, Seafood Alternatives, Health & Wellness, Sustainable Foods, Gourmet and Specialty Foods, Cost Effective Meat Options, Quick-Service Food, Food Service, Catering, Hospitality, Supermarket, Grocery, Fast Food Chain","Low Cost Plant-Based Option, | 100% Vegan, | High-Protein, Clean Label, | Non-GMO Soy Ingredients, | Meat-like Taste and Texture | Suitable for All Ages, | Easy to Cook, | Cholesterol-Free, | Environmentally Friendly",ISO9001 | ISO22000 | Other HACCP | HALAL | FDA | GMP | Non-GMO Certification,"Meat alternative, plant-based meat, vegan food, vegan snacks, vegan sauce, vegan salami, vegan Chorizo, vegan calamari, vegan chicken, vegan pastrami, vegan bolognese, vegan meatballs, vegan burger patty, vegan savory protein bar, vegan fish fingers, vegan cubed ham, vegan pulled pork, vegan minced meat, vegan crab paste, vegan chicken nuggets",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_127.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=127
128,Plant-based Luncheon Meat (Original/Spicy Flavor),yes,689,Beanstalk food S.L.,https://beanstalkfoods.com/en/,Plant Based / Alternative Food,E5-K11,Overseas exhibitors | Exportable,Vegetarian | Vegan | Halal | Savoury snacks | Finger Food | Salty Snacks | Rice Crackers & Healthy Snacks,"Plant-Based Foods, | Vegan & Vegetarian Products, | Meat Alternatives, | Shelf-Stable Foods, | Ready-to-Eat Foods, | Convenience Foods, | Sustainable Foods, | Packaged Foods","100% Vegan, | Shelf-Stable for Convenience, | Individually Wrapped for Freshness, | Non-GMO Ingredients, | High-Protein, Low-Fat, | Meat-Free Alternative, | No Refrigeration Required, | Ready-to-Eat, | Health-Conscious Choice, | Sustainable and Eco-Friendly",ISO9001 | ISO22000 | Other HACCP | HALAL | FDA | GMP | Non-GMO Certification,"Meat alternative, plant-based meat, vegan food, vegan snacks, vegan sauce, vegan salami, vegan Chorizo, vegan calamari, vegan chicken, vegan pastrami, vegan bolognese, vegan meatballs, vegan burger patty, vegan savory protein bar, vegan fish fingers, vegan cubed ham, vegan pulled pork, vegan minced meat, vegan crab paste, vegan chicken nuggets",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_128.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=128
144,Teraokake Soy Sauce for Eggs,yes,571,"Teraoka Yuuki Jyouzou Co., Ltd.",https://www.teraokake.co.jp/,,S2-C29-018,Japan exhibitors | Exportable | Co-exhibitor | Organizer : JAPAN SHOYU ASSOCIATION,Soy Sauce | Liquid Seasoning,"Supermarket, Restaurant, EC","Special soy sauce goes perfectly with eggs! | This best-selling soy sauce is a perfect blend Koikuchi soy sauce with bonito, kelp, and oyster extract as the secret ingredient. | Mild and moderately sweet taste goes perfectly well with egg dish. | | Besides eggs ... | Perfect for stir-fries, stews, or as a base for hot pots and noodle soup—use it as is or dilute it to your preference. |",FSSC22000,"Teraokake Soy Sauce for Eggs(150ml),Teraokake Organic Soy Sauce KURADASHI - KIOKE 3 Years Aged(150ml), Teraokake Soy Sauce for Sushi and Sashimi(150ml), Teraokake Yuzu Ponzu(150ml),Teraokake Less Sodium Soy Sauce(150ml)",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_144.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=144
163,Original large-capacity glass bottle (JS Series / OSG Series),no,345,"JAPAN SEIKO GLASS CO.,LTD.",https://www.osg-co.jp/,FOODEX TECH,E7-U04,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=163
164,Original wide-mouth glass bottle (WM Series / MSN Series),no,345,"JAPAN SEIKO GLASS CO.,LTD.",https://www.osg-co.jp/,FOODEX TECH,E7-U04,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=164
165,Original narrow-mouth glass bottle (SS Series / UD Series),no,345,"JAPAN SEIKO GLASS CO.,LTD.",https://www.osg-co.jp/,FOODEX TECH,E7-U04,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=165
167,SHRIMP CHEEK,no,335,"Foodem Co., Ltd.",https://www2.asask.co.jp/asahi/,Exports from Japan,S1-P12,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=167
200,EBI KATSU,yes,671,Golden Phoenix Thai Hom Mali Jasmine Rice,https://www.kitoku-shinryo.co.jp/ja/goods/foreign.html,Imports Food,E4-BB18,Overseas exhibitors | Exportable,Frozen Seafood | Seafood | Processed seafood products,,,EU-HACCP | US-HACCP | HALAL | FDA | ASC(Aquaculture Stewardship Council),"Sushi, Raw Sushi, Hanging meat Sushi, Tempura, Breaded shrimp, Nobashi, CPDTO, CPD, Ebi Katsu",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_200.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=200
216,Twice fermented soy sauce perfect for fish dishes,yes,542,Bumimas Food Manufacturing Sdn. Bhd.,https://kimyam.com.my,FOODEX Frozen Processed Food,E5-X27,Overseas exhibitors | Exportable,Soy Sauce,"Retail store(supermarket), Department store, Online sales, Restaurant","This soy sauce is produced using twice fermentation method, which creates richer taste and excellent aroma compared to general soy sauce. This soy sauce is especially good for fish dishes. Double-layer bottles used in this product prevent oxidation of the soy sauce and keep its freshness effectively.",SQF,"Soy Sauce, Dashi Stock, Processed Soy Sauce Products (Men-Tsuyu), Mixed Spice Seasoning, Sauce, Yuzu Ponzu Sauce, Barbecue Sauce, Liquid Seasoning, Powder Seasoning, Products for HORECA (Hotel, Restaurants, Cafe) , PB/ODM/OEM Production",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_216.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=216
218,Khustai Gouda,yes,841,MACU (Mongolian Artisan Cheesemakers Union) LLC,https://www.facebook.com/FromagerieMACU/,National Pavilion,E5-Y11-00,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MONGOLIA,Alternative Milk Products | Cheese | Vegetarian | Organic Products,"Our target market includes high-end artisanal cheese aficionados, wine bars, restaurants, cheese enthusiasts, wine drinkers, and everyday consumers. In Japan, the consumption of premium artisanal cheeses has steadily grown as Western food culture influences increase through globalization and tourism. High-quality cheeses are featured in top European restaurants, and more Japanese consumers are pairing them with fine wines. Cheese consumption in Japan grew after 1964 and the Tokyo Olympics, with the popularity of Italian dishes like pizza and pasta. Despite the steady growth of domestic cheese demand, Japan relies heavily on imports, covering only 12.1% of cheese production in 2020. To reduce dependence on imports, the Japanese Ministry of Agriculture has incentivized local farmers to sell raw milk to cheese producers. However, with increasing demand for high-end cheeses, Japan's cheese market remains dependent on imported artisanal products.","We sell our cheeses in our high-end food products shops “Fromagerie MACU The Shop”, and also cook delicious recipes with it in our restaurant “Fromagerie MACU” based in Ulaanbaatar, Mongolia. We also sell it to other high-end restaurants in Ulaanbaatar and in Hong Kong.","MNTR2:2011: ""Technical regulations for the production and trade of milk products"" ; MNS4228:2011: ""A","We produce and sell Mongolian artisanal cheeses. For Foodex, we will present our flagship product, Khustai Gouda, the oldest and premier Mongolian cheese, made continuously for 30 years in the Khustai National Park. Produced by Tumurkhuyag Urtnasan and his family since 1995, it comes from a remote, nomadic area 80 km southwest of Ulaanbaatar. Khustai Gouda is unique for several reasons. The milk used comes from cows grazing on wild forbs in high-altitude pastures. This summer milk is rich in proteins and minerals, giving the cheese its distinctive flavor. Handmade in small batches, the cheese is salted and aged for 2-3 months in a wooden shed before further maturation near Ulaanbaatar. Some batches age up to 18 months, resulting in a firm, crumbly texture and a flavor that evolves from mild and slightly salty to rich, nutty, and caramelized with umami notes. Unlike industrial Gouda, it contains no preservatives or additives, reflecting the pure taste of Mongolian milk. Khustai Gouda stands out for its exceptional quality and pairs well with wine, enhancing dishes like fondue and pasta.",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_218.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=218
219,Frozen spring rolls pastry,yes,542,Bumimas Food Manufacturing Sdn. Bhd.,https://kimyam.com.my,FOODEX Frozen Processed Food,E5-X27,Overseas exhibitors | Exportable,Frozen Baked Goods | Frozen Ready Meals | Vegetarian | Halal,"Spring rolls pastry in food service and retail pack | 10"", 8.5"", 7.5"", 6"", 5""",Home brand and private label (OEM) spring rolls pastry for HORECA and retail,Other HACCP | HALAL,"Frozen French Fries, Frozen Hash Brown, Frozen Spring Rolls Pastry, Frozen Paratha Pastry, Frozen Gyoza Pastry, Frozen Wonton Pastry, Frozen Dumpling Pastry, Frozen Sweet Corn, Frozen Sweet Corn Cob, Frozen Mantou, Frozen Steam Buns, Frozen Glutinous Rice Ball, Frozen Tortilla, Frozen Pita Breads.",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_219.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=219
222,Frozen Sweet Corn,no,542,Bumimas Food Manufacturing Sdn. Bhd.,https://kimyam.com.my,FOODEX Frozen Processed Food,E5-X27,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=222
230,FOOD TAIPEI 2026,yes,647,FOOD TAIPEI 2026 (TAITRA),,,E6-DD83,Overseas exhibitors | Exportable,"Baked Goods | Production Management | Cakes / Dessert | Order Management | Bread | Image Inspection | Japanese sweets | Voice Input | Gluten-free | Equipment Maintenance | Bottled Water | Generative AI | Carbonated Soft Drinks | Data Analysis | Coffee | Sales Promotion | Energy Drinks | Others | Flavoured Water | Instant Beverages | Juice | Non-alcoholic Beverages | Smoothies | Tea | Eggs & Egg Products | Mushroom | Fresh Fruit & Vegetables | Soy Sauce | Miso | Powdered Seasoning | Liquid Seasoning | Vinegar | Canned Products | Dried Fruits | Dry Seafood | Pasta | Alternative Milk Products | Butter | Cheese | Cream & Cream Products | Milk | Yoghurt (NULLRegular, Flavoured, Fruit, etc.) | Tofu/Natto | Fortified & Functional Products | Protein Drink | Supplements | Health & Wellness Products | Frozen Baked Goods | Frozen Dairy Products | Frozen Fruit & Vegetables | Frozen Meat | Frozen Seafood | Frozen Ready Meals | Ice Cream / Sorbet Gelato | Vegetarian | Vegan | Halal | Kosher | Dried Meat | Organ Meats & Offal | Poultry & Feathered Game | Processed Meat | Unprocessed Meat | Organic Products | Seafood | Savoury Baked Products | Savoury snacks | Vegetable snacks | Cereals / Fruit Bars | Crackers | Dates & Date Palm Products | Dried Fruit & Vegetables | Finger Food | Nuts | Popcorn | Salty Snacks | Spreads, Honey & Jams | Vegetable & Animal Oils & Fats | Breakfast Cereals | Coffee Beans | Pulses | Rice | Wheat | Packaging | Sanitary | Cooking and Baking Equipment | Refrigeration and Cooling Equipment | Food Preparation Equipment | Beverage Equipment | Professional Services | Still wines - red | Still wines - rose | Still wines - white | Sparkling wines | Fortified wines | Flavored wines | Dessert wines | Organic wines | Vegan wines | Fruit and flavored | Non-alcoholic wines | Low-alcoholic wines | Beer | Japanese Sake | Shochu | Fruit Liqueur | Spirits | Whiskey | Others | Solid Seasonings | Rice Toppings & Ochazuke Mixes | Ready-to-eat Foods, Sealed Packaged Foods (e.g., curry, rice bowl toppings) | Rice Crackers & Healthy Snacks | Plant-based / Alternative Foods",1. Precision Nutrition: Companies specializing in personalized health and nutrition solutions. | 2. Plant-Based Products: Buyers seeking sustainable and plant-derived food alternatives. | 3. Ready-to-Eat Delights: Retailers and foodservice operators offering convenient meal solutions. | 4. Functional Beverages: Brands and distributors focused on health-oriented and fortified drinks.,"FOOD TAIPEI, Asia’s premier food exhibition, leads with the themes of SMART EATING and GREEN LIVING. It gathers top brands across every food sector—from fresh produce and seafood to snacks, beverages, and organics. | Debuting in 2026, the “Fresh Living” Area at TWTC Hall 1 will feature precision nutrition, plant-based products, ready-to-eat delights, and functional beverages. | As the gateway to Asia’s food market, FOOD TAIPEI is the stage to showcase innovation, connect with buyers, and unlock global opportunities.",,,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_230.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=230
231,Akajishi Tare (Miso Flavor)・Aojishi Tare (Soy Sauce Flavor),yes,542,Bumimas Food Manufacturing Sdn. Bhd.,https://kimyam.com.my,FOODEX Frozen Processed Food,E5-X27,Overseas exhibitors | Exportable,Liquid Seasoning,"Retail store(supermarket), Department tore, Online sales, Restaurant","Akajishi Tare (Miso Flavor)：This is miso flavored-tare sauce using chili pepper grown in Karatsu, Japan. Rich spiciness of the red chili pepper and flavor from the miso make this tare more flavorful. This tare is not only good for grilled meat but also for cooking stir-fried vegetables. | Aojishi Tare (Soy Sauce Flavor)：This is soy sauce flavored-tare sauce using chili pepper grown in Karatsu, Japan. Lingering spiciness of the green chili pepper and flavor from the garlic make this tare more distinctive. This tare is not only good for grilled meat but also for cooking stir-fried rice.",,"Soy Sauce, Dashi Stock, Processed Soy Sauce Products (Men-Tsuyu), Mixed Spice Seasoning, Sauce, Yuzu Ponzu Sauce, Barbecue Sauce, Liquid Seasoning, Powder Seasoning, Products for HORECA (Hotel, Restaurants, Cafe) , PB/ODM/OEM Production",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_231.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=231
232,Frozen Paratha Pastry,no,542,Bumimas Food Manufacturing Sdn. Bhd.,https://kimyam.com.my,FOODEX Frozen Processed Food,E5-X27,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=232
234,Non-Alcohol SAIKA Yuzu Rochk’n Yuzu,yes,858,"Kokonoesaika Co.,Ltd.",https://www.kokonoesaika.co.jp,Local Specialities in Japan,S2-C12-00,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Wakayama Prefecture,Juice | Non-alcoholic Beverages | Vegan | Halal | Kosher,"・Halal, Kosher and Vegan. | ・People who don't drink alcohol. People who can't drink alcohol.","This non-alcoholic yuzu drink is Halal, Kosher, and vegan certified. | Different from yuzu juice, it features the refreshing aroma and rich acidity that only yuzu can offer. | Can be enjoyed on the rocks, straight, with soda, warm, or poured over ice cream. |","HALAL | FDA | Kosher, Vegan","Non-alcoholic, red vinegar, sake, liqueur",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_234.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=234
239,"IQF LEMON: SLICES, WEDGES, ZEST, PEEL",no,658,Kissfruit S.L,https://kissfruit.es,FOODEX Frozen Fresh Products,E6-Q04,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=239
240,"IQF ORANGE : SLICES, WEDGES,ZEST, PEEL",no,658,Kissfruit S.L,https://kissfruit.es,FOODEX Frozen Fresh Products,E6-Q04,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=240
242,"IQF LIME : SLICES, WEDGES, ZEST, PEEL",no,658,Kissfruit S.L,https://kissfruit.es,FOODEX Frozen Fresh Products,E6-Q04,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=242
243,"IQF GRAPEFRUIT: SLICES, WEDGES, ZEST,PEEL",no,658,Kissfruit S.L,https://kissfruit.es,FOODEX Frozen Fresh Products,E6-Q04,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=243
277,SAIKA Ginjoakazu(Red Vinegar),no,858,"Kokonoesaika Co.,Ltd.",https://www.kokonoesaika.co.jp,Local Specialities in Japan,S2-C12-00,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Wakayama Prefecture,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=277
